17:02:11.406 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	7f020000> 	17:02:11.406	7f02	0000	027f	0000	639	0
17:02:11.436 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	7f020000> 	17:02:11.436	7f02	0000	027f	0000	639	0
17:02:11.496 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	7d020000> 	17:02:11.496	7d02	0000	027d	0000	637	0
17:02:11.556 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	73020000> 	17:02:11.556	7302	0000	0273	0000	627	0
17:02:11.586 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	70020000> 	17:02:11.586	7002	0000	0270	0000	624	0
17:02:11.646 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	70020000> 	17:02:11.646	7002	0000	0270	0000	624	0
17:02:11.706 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	6d020000> 	17:02:11.706	6d02	0000	026d	0000	621	0
17:02:11.736 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	6d020000> 	17:02:11.736	6d02	0000	026d	0000	621	0
17:02:11.796 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	6d020000> 	17:02:11.796	6d02	0000	026d	0000	621	0
17:02:11.856 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	6d020000> 	17:02:11.856	6d02	0000	026d	0000	621	0
17:02:11.886 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	6d020000> 	17:02:11.886	6d02	0000	026d	0000	621	0
17:02:11.947 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	64020000> 	17:02:11.947	6402	0000	0264	0000	612	0
17:02:12.007 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	33020000> 	17:02:12.007	3302	0000	0233	0000	563	0
17:02:12.066 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	9b010000> 	17:02:12.066	9b01	0000	019b	0000	411	0
17:02:12.096 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	72010000> 	17:02:12.096	7201	0000	0172	0000	370	0
17:02:12.156 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	70010000> 	17:02:12.156	7001	0000	0170	0000	368	0
17:02:12.218 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	5c010000> 	17:02:12.218	5c01	0000	015c	0000	348	0
17:02:12.246 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	5c010000> 	17:02:12.246	5c01	0000	015c	0000	348	0
17:02:12.306 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	5c010000> 	17:02:12.306	5c01	0000	015c	0000	348	0
17:02:12.366 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	5c010000> 	17:02:12.366	5c01	0000	015c	0000	348	0
17:02:12.396 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	31010000> 	17:02:12.396	3101	0000	0131	0000	305	0
17:02:12.456 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	31010000> 	17:02:12.456	3101	0000	0131	0000	305	0
17:02:12.517 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	1e010000> 	17:02:12.517	1e01	0000	011e	0000	286	0
17:02:12.576 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	1e010000> 	17:02:12.576	1e01	0000	011e	0000	286	0
17:02:12.637 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	31010000> 	17:02:12.637	3101	0000	0131	0000	305	0
17:02:12.667 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	37010000> 	17:02:12.667	3701	0000	0137	0000	311	0
17:02:12.726 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	3f010000> 	17:02:12.726	3f01	0000	013f	0000	319	0
17:02:12.786 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	83010000> 	17:02:12.786	8301	0000	0183	0000	387	0
17:02:12.816 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8e010000> 	17:02:12.816	8e01	0000	018e	0000	398	0
17:02:12.877 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	a8010000> 	17:02:12.877	a801	0000	01a8	0000	424	0
17:02:12.936 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	ce010000> 	17:02:12.936	ce01	0000	01ce	0000	462	0
17:02:12.967 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	ce010000> 	17:02:12.967	ce01	0000	01ce	0000	462	0
17:02:13.026 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	ce010000> 	17:02:13.026	ce01	0000	01ce	0000	462	0
